col0	col1	col2	col3	col4	col5	col6	col7	
'S354'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	
'S240'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	
'S233'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	
'S060'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	
'S048'	'1'	'1'	'0'	'1'	'1'	'1'	'1'	
'S318'	'0'	'1'	'1'	'1'	'1'	'1'	'1'	
'S114'	'0'	'1'	'1'	'0'	'1'	'1'	'1'	
'S357'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S309'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S264'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S207'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S189'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S141'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S083'	'0'	'1'	'0'	'1'	'1'	'1'	'1'	
'S351'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S327'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S325'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S297'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S283'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S270'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S243'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S231'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S180'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S110'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S081'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
'S075'	'0'	'1'	'0'	'0'	'1'	'1'	'1'	
